source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Yahoo Entertainment'}",Ricardo Pillai,Lockheed Martin Corporation (LMT): A Bull Case Theory,"We came across a bullish thesis on Lockheed Martin Corporation on Stock Region Research’s Substack by Stock Region. In this article, we will summarize the...",https://finance.yahoo.com/news/lockheed-martin-corporation-lmt-bull-201419444.html,https://media.zenfs.com/en/insidermonkey.com/a0761732ae788f1b2a81da6e0ed18999,2025-07-07T20:14:19Z,"We came across a bullish thesis on Lockheed Martin Corporation on Stock Region Researchs Substack by Stock Region. In this article, we will summarize the bulls thesis on LMT. Lockheed Martin Corporat… [+2620 chars]"
"{'id': None, 'name': 'Xataka.com'}",Javier Marquez,EEUU quiere renunciar a traer las muestras más valiosas recogidas en Marte. Lockheed promete hacerlo por menos de la mitad,"Desde febrero de 2021, el rover Perseverance recorre con paciencia el cráter Jezero, una antigua cuenca fluvial en la superficie de Marte. Allí, donde hace millones de años fluyó el agua, el robot de la NASA ha ido recolectando fragmentos de roca y polvo marc…",https://www.xataka.com/espacio/eeuu-quiere-renunciar-a-traer-muestras-valiosas-recogidas-marte-lockheed-promete-hacerlo-mitad,https://i.blogs.es/7adbe8/marte-muestras-portada/840_560.jpeg,2025-07-07T20:00:13Z,"Desde febrero de 2021, el rover Perseverance recorre con paciencia el cráter Jezero, una antigua cuenca fluvial en la superficie de Marte. Allí, donde hace millones de años fluyó el agua, el robot de… [+4652 chars]"
"{'id': None, 'name': 'Activistpost.com'}",Editor,Chris Hedges: Profiting From Genocide,"War is a business. So is genocide. The latest report submitted by Francesca Albanese, Special Rapporteur on the Occupied Palestinian Territories, lists 48 corporations and institutions, including Palantir Technologies Inc., Lockheed Martin, Alphabet Inc., Ama…",https://www.activistpost.com/chris-hedges-profiting-from-genocide/,https://www.activistpost.com/wp-content/uploads/2025/07/Activist-Website-Images-1.jpg,2025-07-07T20:00:00Z,"War is a business. So is genocide. The latest report submitted by Francesca Albanese, Special Rapporteur on the Occupied Palestinian Territories, lists 48 corporations and institutions, including Pal… [+17499 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jake Epstein,Patriot air defenses have become top weapons — and top targets,"Ukraine's inventory of Patriot surface-to-air missile systems have been very effective against Russia, two US Army officers told BI.",https://www.businessinsider.com/patriot-air-defenses-have-become-top-weapons-and-top-targets-2025-7,https://i.insider.com/686bfcae85e81483682d7a6f?width=1200&format=jpeg,2025-07-07T19:28:42Z,"The Patriot surface-to-air missile system has been a key element in Ukraine's defensive shield.US Army photo by Sgt. David Rincon
<ul><li>Before the Ukraine war, the US-made Patriot air defense syst… [+5230 chars]"
"{'id': None, 'name': 'Nintendo Life'}",Nintendo Life,Review: Arcade Archives 2 Air Combat 22 (Switch 2) - A Top Gun Origin Story,"You can be my wingman anytime.Namco's Ace Combat series is one of the company's most enduring hits, and has been a solid part of its lineup for decades, selling over 20 million units in the process – yet the origins of the franchise are somewhat murky and cer…",https://www.nintendolife.com/reviews/nintendo-switch-2/arcade-archives-2-air-combat-221,https://images.nintendolife.com/7b364b96591de/large.jpg,2025-07-07T18:00:00Z,"Captured on Nintendo Switch 2 (Handheld/Undocked)
Namco's Ace Combat series is one of the company's most enduring hits, and has been a solid part of its lineup for decades, selling over 20 million u… [+3329 chars]"
"{'id': None, 'name': 'GlobeNewswire'}",CMI MARKET RESEARCH PRIVATE LIMITED,"[Latest] Global 3D Printed Drones Market Size/Share Worth USD 3,855.5 Million by 2034 at a 20.7% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global 3D Printed Drones Market size & share revenue was valued at approximately USD 710.5 Million in 2024 and is expected to reach USD…",https://www.globenewswire.com/news-release/2025/07/07/3111245/0/en/Latest-Global-3D-Printed-Drones-Market-Size-Share-Worth-USD-3-855-5-Million-by-2034-at-a-20-7-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentati.html,https://ml.globenewswire.com/Resource/Download/74609d89-5437-4826-b7b8-31238ea2e65c,2025-07-07T17:30:00Z,"Austin, TX, USA, July 07, 2025 (GLOBE NEWSWIRE) -- Custom Market Insights has published a new research report titled 3D Printed Drones Market Size, Trends and Insights By Type (Fixed-wing, Multi-roto… [+30821 chars]"
"{'id': None, 'name': 'The National Interest '}",Peter Suciu,"The UK, France, and Italy Coordinate an International Indo-Pacific Aircraft Carrier Operation","Three European aircraft carriers, including the UK’s HMS Prince of Wales, are coordinating Indo-Pacific deployments to signal joint defense cooperation and reinforce security partnerships amid China’s expanding naval presence.  Following a week-long port visi…",https://nationalinterest.org/blog/buzz/the-uk-france-and-italy-coordinate-an-international-indo-pacific-aircraft-carrier-operation,https://nationalinterest.org/wp-content/uploads/2025/03/hmsprinceofwales_SS-1.jpg,2025-07-07T17:23:54Z,"Following a week-long port visit to Singapore, the Royal Navys flagship has begun preparations to carry out joint operations with the Japanese Maritime Self-Defense Force. The carrier airwing of HMS … [+4214 chars]"
"{'id': None, 'name': 'TheStreet'}","Jason Meshnick, CMT",Stock Market Today: Tesla Stuck on the Highway as Trade Deal Deadline Nears,"Yesterday, I witnessed a Model Y stopped in the middle lane of I70. The company has suffered while Musk plays with politics and is set to open lower today.",https://www.thestreet.com/investing/stock-market-today-tesla-stuck-on-the-highway-as-trade-deal-deadline-nears,https://media.zenfs.com/en/thestreet_881/0be5eae7333c935f42351b3cb6ed91ff,2025-07-07T16:18:44Z,"Stock Market Today: Tesla Stuck on the Highway as Trade Deal Deadline Nears originally appeared on TheStreet.
Updated at 11:40 a.m. EDT
Stocks are broadly lower following the holiday weekend. The S… [+3916 chars]"
"{'id': None, 'name': 'Freerepublic.com'}",Breitbart,‘President Trump Deserves All The Praise’ Says NATO Boss Rutte,"The Secretary General of NATO pushes through criticism for his compliments for U.S. President Donald Trump, pointing to higher spending by the alliance’s members and noting this “would not have happened” without Trump pushing the matter. America is “completel…",https://freerepublic.com/focus/f-news/4327296/posts,,2025-07-07T16:15:13Z,"Skip to comments.
President Trump Deserves All The Praise Says NATO Boss RutteBreitbart ^
 | 07-07-2025
 | Oliver JJ Lane
Posted on 07/07/2025 9:15:13 AM PDT by ChicagoConservative27
The Secreta… [+3201 chars]"
"{'id': None, 'name': 'Mail.ru'}",Светлана Левченко,У марсианской миссии появился шанс на спасение,"Миссия по возвращению образцов с Марса, которая находится в данный момент под угрозой из-за урезания бюджета и геополитических изменений, похоже, все-таки состоится — благодаря частной инициативе.
Lockheed Martin представила альтернативный проект миссии, кото…",https://hi-tech.mail.ru/news/129906-u-marsianskoj-missii-poyavilsya-shans-na-spasenie/,https://resizer.mail.ru/p/239febd1-6faf-59b9-b2e2-973b25a07ebb/AQAKWzq7QvDEnWqdiAiCit1DwTyvxE-Ka2L9LJmd1xD9eFFgiFN1-VvXsJmv4seP6IddktzO-F3MoQ6RSfgDgOSPGQo.jpg,2025-07-07T15:03:51Z,"Lockheed Martin , ,   ,   3  —      7 .
Mars Sample Return (MSR) — ,          .   : Perseverance   ,    , . ,    , , ,      .     .
  Lockheed Martin ,   ,     . ,   InSight —  . 250−300 , 5   .   … [+117 chars]"
"{'id': 'newsweek', 'name': 'Newsweek'}",Ellie Cook,"China Stealth Fighter Rival to US F-35 Seen in Sky, Images Appear to Show",Beijing has rapidly built up its military and invested in high-tech weapons systems.,https://www.newsweek.com/china-j35a-stealth-fighter-images-flight-f35-2095422,https://d.newsweek.com/en/full/2678095/chinese-stealth-fighter-jets.jpg,2025-07-07T14:55:10Z,"China's J-35A fifth-generation fighter jet is in use with Beijing's military, new photos appear to show, as the U.S. turns its attention toward the Indo-Pacific and possible Chinese military plans fo… [+3837 chars]"
"{'id': None, 'name': 'Hurriyet.com.tr'}",hurriyet.com.tr,F-35 Hindistan'da mahsur kaldı: Arızalanan uçağın sorunu anlaşılamadı,"F-35B model savaş uçağı, 14 Haziran'da Hindistan Okyanusu'nda eğitim uçuşu yaparken kötü hava koşulları nedeniyle Kerala eyaletindeki Thiruvananthapuram Havalimanı'na iniş yapmak zorunda kalmıştı. Uçak, ardından teknik bir arıza bildirerek Kraliyet Donanması'…",https://www.hurriyet.com.tr/dunya/f-35-hindistanda-mahsur-kaldi-arizalanan-ucagin-sorunu-anlasilamadi-42868825,https://image.hurimg.com/i/hurriyet/75/0x0/686bd9c8024704ed38bbe09b.jpg,2025-07-07T14:31:54Z,p&gt;ngiliz uzmanlar tarafndan 3 haftadr incelenmekte olan mahsur kalm yeni nesil ngiliz sava uçann arzas giderilemeyince 14 mühendisten oluan özel bir ekip görevlendirildi. Birleik Krallk'tan gelen … [+1912 chars]
"{'id': None, 'name': 'Olhardigital.com.br'}",Ana Luiza Figueiredo,Nova proposta quer salvar missão da NASA para Marte,"Com cortes no orçamento da NASA, Lockheed Martin apresentou plano mais simples e barato para viabilizar o retorno de amostras do solo marciano
O post Nova proposta quer salvar missão da NASA para Marte apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2025/07/07/ciencia-e-espaco/nova-proposta-quer-salvar-missao-da-nasa-para-marte/,https://olhardigital.com.br/wp-content/uploads/2025/07/mars-sample-return-mav.jpg,2025-07-07T13:55:29Z,"A missão de retorno de amostras de Marte da NASA pode ganhar uma nova chance graças a uma proposta apresentada pela Lockheed Martin, que oferece uma alternativa mais enxuta e de menor custo. A inicia… [+3144 chars]"
"{'id': None, 'name': 'Multiplayer.it'}",Francesco Messina,"L'ONU accusa Google, Amazon e Microsoft di essere complici del genocidio a Gaza","Una presa di posizione molto forte arriva direttamente dall'ONU che ha accusato le grandi Big Tech, come Google, Amazon e Microsoft di essere complici del terribile genocidio del popolo palestinese a Gaza.",https://multiplayer.it/notizie/lonu-accusa-google-amazon-e-microsoft-di-essere-complici-del-genocidio-a-gaza.html,https://multiplayer.net-cdn.it/thumbs/images/2025/07/07/onu_jpg_1200x0_crop_q85.jpg,2025-07-07T12:55:48Z,"Purtroppo, spesso, tecnologia e politica si incrociano e quando succede non sempre i risultati sono entusiasmanti o positivi. Spesso, quando le Big Tech entrano a far parte dei discorsi politici, il … [+2106 chars]"
"{'id': None, 'name': 'Origo.hu'}",,Hollandia F–35-ös vadászgépeket küld Kelet-Európa egére,"Friss hírek Magyarországról és a nagyvilágból, sport, technika, szórakozás, tudomány, kultúra. Az ORIGO a legfrissebb hazai és nemzetközi hírekkel szolgál olvasói számára.",https://www.origo.hu/nagyvilag/2025/07/f-35-os-vadaszgep-hollandia-nato,https://cdn.origo.hu/2025/07/NoYxEOWoIzLVNnMimULSrDjaaR4neGii9Ggpz08RlVQ/fill/1200/675/no/1/aHR0cHM6Ly9jbXNjZG4uYXBwLmNvbnRlbnQucHJpdmF0ZS9jb250ZW50L2ZhOTA2MWM2YTVlMjQxYWQ5YTk2MDU2MWM2MmJiZTA1.webp,2025-07-07T12:55:42Z,"A holland gépekhez norvég F35-ösök is csatlakoznak, a bevetés pedig a NATO Egyesített Fegyveres Erinek fparancsnoka, Christopher Cavoli tábornok kérésére történik. A holland védelmi miniszter, Ruben … [+1317 chars]"
"{'id': None, 'name': 'Patronlardunyasi.com'}",,İngiltere'nin zorunlu iniş yapan F-35'i Hindistan'da mahsur kaldı: Sosyal medyada dalga konusu oldu,14 Haziran’da Hint Okyanusu üzerindeki bir sortide kötü hava koşulları nedeniyle Kerala eyaletindeki Thiruvananthapuram Havalimanı’na yönlendirilen F-35B o günden bu yana İngiliz uçak gemisine dönüş sağlayamadı. Eğer mühendisler uçağı uçuşa elverişli hale get…,https://www.patronlardunyasi.com/ingilterenin-zorunlu-inis-yapan-f-35i-hindistanda-mahsur-kaldi-sosyal-medyada-dalga-konusu-oldu,https://i.pdimage.com/static/content/25-07/07/india-s.png,2025-07-07T12:31:00Z,"14 Haziran’da Hint Okyanusu üzerindeki bir sortide kötü hava koullar nedeniyle Kerala eyaletindeki Thiruvananthapuram Havaliman’na yönlendirilen F-35B, teknik bir arza bildirerek ngiliz donanmasna ai… [+1101 chars]"
"{'id': None, 'name': 'ComputerWeekly.com'}",Sebastian Klovig Skelton,"Tech firms complicit in ‘economy of genocide’, says UN rapporteur","A UN special rapporteur has called for technology firms operating in Israel and the Occupied Palestinian Territories to immediately halt their activities, in wider report about the role corporate entities have played in the Israeli state’s ongoing ‘crimes of …",https://www.computerweekly.com/news/366626968/Tech-firms-complicit-in-economy-of-genocide-says-UN-rapporteur,https://www.computerweekly.com/visuals/ComputerWeekly/Hero Images/War-Bombing-Destruction-adobe.jpg,2025-07-07T12:26:00Z,"Technology firms globally are actively aiding and abetting Israels crimes of apartheid and genocide against Palestinians, said United Nations (UN) special rapporteur in an urgent call for the compani… [+12732 chars]"
"{'id': None, 'name': 'Meneame.net'}",tierramar,"El negocio del miedo: deuda, misiles y recortes sociales","El verdadero beneficiario de esta carrera armamentista no es el ciudadano medio y su protección, sino el sector financiero. Gran parte del gasto beneficiará a contratistas estadounidenses. Lockheed Martin, Raytheon y Northrop Grumman ven en Europa un mercado …",https://www.meneame.net/m/actualidad/negocio-miedo-deuda-misiles-recortes-sociales,https://www.meneame.net/backend/media?type=link&id=4075247&version=0&ts=1751889907&image.webp,2025-07-07T11:55:59Z,
"{'id': None, 'name': 'Origo.hu'}",,Gyanúsan régóta vesztegel Indiában egy brit vadászgép,"Friss hírek Magyarországról és a nagyvilágból, sport, technika, szórakozás, tudomány, kultúra. Az ORIGO a legfrissebb hazai és nemzetközi hírekkel szolgál olvasói számára.",https://www.origo.hu/nagyvilag/2025/07/gyanusan-regota-vesztegel-indiaban-egy-brit-vadaszgep-f-35b,https://cdn.origo.hu/2025/07/Z2Qot-ZEJelIogdHR_dHOGUCE_DnUB3EdaQ2jmANSCY/fill/1200/675/no/1/aHR0cHM6Ly9jbXNjZG4uYXBwLmNvbnRlbnQucHJpdmF0ZS9jb250ZW50L2FkYmIwZGIxNGIzNTQyNzI4NjQ3MTkwOTM0MGIyM2Y4.webp,2025-07-07T10:51:34Z,"A Brit Fbiztosság közölte, hogy egy brit mérnökökbl álló csapatot a Thiruvananthapuram repültérre vezényeltek az F-35B repülgép felmérésére és javítására. Azt írták, hogy a csapat a szállításhoz és a… [+1433 chars]"
"{'id': None, 'name': 'Meneame.net'}",tropezon,La venta de aviones F-35 a Canadá está en peligro: podrían perderse miles de millones si no se hace,"Canadá duda de completar su adquisición de 88 F35 a Lockheed Martin, después de haber pagado ya 16 de ellos, tras revelarse que el coste real podría subir un 45% (hasta 27 000 M USD) por inflación, tipo de cambio y gastos en infraestructura, además de enfrent…",https://www.meneame.net/m/actualidad/venta-aviones-f-35-canada-esta-peligro-podrian-perderse-miles-no,https://www.meneame.net//cdn.mnmstatic.net/img/mnm/logo-350x350.png,2025-07-07T10:33:39Z,
"{'id': None, 'name': 'Aero-news.net'}",editor@aero-news.net (Jim Campbell),UK F-35B Stranded in India Becomes a Local Celebrity,"Maintenance Team Arrives for Support After Weeks Being Grounded After being stranded in southern India for weeks due to weather and engine issues, a Royal Air Force F-35B fighter is finally getting ready to fly home. Despite being far from home, it got plenty…",https://www.aero-news.net/index.cfm?do=main.textpost&id=F76F430B-40D2-4770-9FDA-62A3DA43C8DD,,2025-07-07T10:05:00Z,"After being stranded in southern India for weeks due to weather and engine issues, a Royal Air Force F-35B fighter is finally getting ready to fly home. Despite being far from home, it got plenty of … [+2127 chars]"
"{'id': None, 'name': 'Antyweb.pl'}",Patryk Łobaza,Marsjańska misja wraca z zaświatów. I to o połowę taniej,"Amerykański koncern Lockheed Martin zaproponował przejęcie realizacji misji Mars Sample Return, której celem jest sprowadzenie próbek marsjańskich skał na Ziemię. Firma deklaruje, że może zrealizować projekt za mniej niż 3 miliardy dolarów – ponad dwukrotnie …",https://antyweb.pl/marsjanska-misja-wraca-z-zaswiatow-i-to-o-polowe-taniej,"https://static.antyweb.pl/img/w_1250,h_550/wp-content/uploads/2025/07/nasa-perseverance.jpg",2025-07-07T09:45:44Z,"Amerykaska firma Lockheed Martin przedstawia propozycj radykalnego obnienia kosztów jednej z najbardziej ambitnych misji NASA Mars Sample Return (MSR), której celem jest sprowadzenie próbek ska z pow… [+1887 chars]"
"{'id': None, 'name': '3dnews.ru'}",,Lockheed Martin внезапно предложила по дешевке доставить образцы Марса на Землю,"Lockheed Martin предложила менее затратный способ доставки образцов грунта с Марса на Землю в рамках миссии NASA Mars Sample Return (MSR), оказавшейся под угрозой отмены из-за технических сложностей и смены приоритетов нынешней администрации Белого дома США. …",https://3dnews.ru/1125525/lockheed-martin-vnezapno-predlogila-po-deshevke-dostavit-obraztsi-marsa-na-zemlyu,https://3dnews.ru/assets/external/illustrations/2025/07/07/1125525/1.jpg,2025-07-07T09:21:00Z,"Lockheed Martin NASA Mars Sample Return (MSR), - . , .
: Lockheed Martin
Lockheed Martin , Mars Sample Return (MSR) $3 , .
 , , Lockheed Martin . , . «» .
, , InSight Mars, Lockheed Martin. Mars … [+143 chars]"
"{'id': None, 'name': 'Meneame.net'}",cocolisto,'Problema F-35': Europa teme que Trump 'apague el interruptor' de tecnología militar(inglés),"Europa carece de alternativas de calidad a algunos de los equipos de defensa más necesarios y deseados que producen las empresas estadounidenses. Entre ellos se encuentra el F-35, el famoso avión de combate furtivo de Lockheed Martin, cuyas capacidades avanza…",https://www.meneame.net/m/actualidad/problema-f-35-europa-teme-trump-apague-interruptor-tecnologia,https://www.meneame.net//cdn.mnmstatic.net/img/mnm/logo-350x350.png,2025-07-07T09:01:23Z,
"{'id': None, 'name': 'BBC News'}",,UK experts inspect fighter jet stuck in India for three weeks,The F-35B landed in Kerala on 14 June after running into bad weather. It then reported a technical snag.,https://www.bbc.com/news/articles/c335mnl33v1o,https://ichef.bbci.co.uk/news/1024/branded_news/6051/live/a87eab90-5af0-11f0-9a88-e7f85ff11261.jpg,2025-07-07T06:10:01Z,"A 14-member team of engineers from the UK has begun assessing a state-of-the-art British fighter jet stuck at an airport in India for more than three weeks now.
The F-35B landed on 14 June at Thiruv… [+2051 chars]"
"{'id': None, 'name': 'Origo.hu'}",,"Kiderült, hogy milyen fegyvereket akar beszerezni Erdogan","Friss hírek Magyarországról és a nagyvilágból, sport, technika, szórakozás, tudomány, kultúra. Az ORIGO a legfrissebb hazai és nemzetközi hírekkel szolgál olvasói számára.",https://www.origo.hu/nagyvilag/2025/07/erdogan-donald-trump-torokorszag-f-35-vadaszgep-nato,https://cdn.origo.hu/2025/07/FOHpVNoMPtm8gBlqHhQZRbH34pGdSIPkG_C2tZFilhA/fill/1200/675/no/1/aHR0cHM6Ly9jbXNjZG4uYXBwLmNvbnRlbnQucHJpdmF0ZS9jb250ZW50L2MwZTczODJmZjUxYzQzNWU5NjhlMGRkYmQyMmUzNjgy.webp,2025-07-07T03:49:00Z,"Törökország elnöke, Recep Tayyip Erdogan ismét reményét fejezte ki az F35-ös vadászbombázók beszerzésével kapcsolatban. Az azerbajdzsáni látogatásáról hazatérve a kíséretében utazó újságíróknak nyila… [+2187 chars]"
